Acrylamide Conc. %,Bis-acrylamide conc %,Photo-initiator conc. %,Layer Height. (micron),Bottom Layer exposure time (s),Exposure time (s),Frequency (Hz),Storage modulus (Pa),Loss modulus (Pa)
10,0.2,2,90,50,6,0.01,623.5822754,116.4548798
10,0.2,2,90,50,6,0.015848933,704.81427,102.8403397
10,0.2,2,90,50,6,0.025118863,756.8909302,91.15359497
10,0.2,2,90,50,6,0.039810721,789.888916,80.39968872
10,0.2,2,90,50,6,0.063095748,820.9055176,73.4879837
10,0.2,2,90,50,6,0.100000001,842.8981323,67.4130249
10,0.2,2,90,50,6,0.158489317,861.5234375,62.48575974
10,0.2,2,90,50,6,0.251188636,877.7950439,59.05724716
10,0.2,2,90,50,6,0.398107171,892.8920898,56.67546463
10,0.2,2,90,50,6,0.630957365,907.0192871,55.99652863
10,0.2,2,90,50,6,1,920.7817383,57.42076111
10,0.2,2,90,50,6,1.584893227,933.210022,60.64852524
10,0.2,2,90,50,6,2.511886358,942.2241211,67.61360168
10,0.2,2,90,50,6,3.981071472,925.1483765,83.82102966
10,0.2,2,90,50,6,6.309572697,953.8388672,81.43232727
10,0.2,2,90,50,6,10,1057.385498,76.12268829
10,0.2,2,90,50,6,0.01,636.5460815,121.921463
10,0.2,2,90,50,6,0.015848933,735.6827393,114.3205338
10,0.2,2,90,50,6,0.025118863,802.1136475,104.1842041
10,0.2,2,90,50,6,0.039810721,846.7289429,95.54125977
10,0.2,2,90,50,6,0.063095748,881.7450562,88.19549561
10,0.2,2,90,50,6,0.100000001,909.9827881,81.86100769
10,0.2,2,90,50,6,0.158489317,934.3040771,77.13864136
10,0.2,2,90,50,6,0.251188636,955.7301025,73.82361603
10,0.2,2,90,50,6,0.398107171,975.7229004,71.81442261
10,0.2,2,90,50,6,0.630957365,995.0325928,72.38248444
10,0.2,2,90,50,6,1,1012.807251,73.83664703
10,0.2,2,90,50,6,1.584893227,1030.69519,78.26347351
10,0.2,2,90,50,6,2.511886358,1045.39563,86.54093933
10,0.2,2,90,50,6,3.981071472,1039.475586,103.4208679
10,0.2,2,90,50,6,6.309572697,1048.784668,110.4229126
10,0.2,2,90,50,6,10,1127.159668,139.3020325
10,0.2,2,90,50,6,0.01,992.4401245,131.3758392
10,0.2,2,90,50,6,0.015848933,1096.709961,109.5642319
10,0.2,2,90,50,6,0.025118863,1159.538452,95.00662231
10,0.2,2,90,50,6,0.039810721,1204.889282,84.34257507
10,0.2,2,90,50,6,0.063095748,1238.121582,76.76155853
10,0.2,2,90,50,6,0.100000001,1263.379028,71.36489868
10,0.2,2,90,50,6,0.158489317,1286.285767,67.85210419
10,0.2,2,90,50,6,0.251188636,1305.815063,65.83091736
10,0.2,2,90,50,6,0.398107171,1324.207764,65.28800201
10,0.2,2,90,50,6,0.630957365,1341.550537,66.71614075
10,0.2,2,90,50,6,1,1359.40625,69.47169495
10,0.2,2,90,50,6,1.584893227,1376.604614,74.18766022
10,0.2,2,90,50,6,2.511886358,1393.894287,82.17089844
10,0.2,2,90,50,6,3.981071472,1404.196045,94.14842987
10,0.2,2,90,50,6,6.309572697,1342.03064,125.3669052
10,0.2,2,90,50,6,10,1413.673584,113.3642654
10,0.2,2,90,50,6,0.01,1246.608032,123.99189
10,0.2,2,90,50,6,0.015848933,1311.011597,105.8169327
10,0.2,2,90,50,6,0.025118863,1355.481934,91.23984528
10,0.2,2,90,50,6,0.039810721,1386.793335,81.65088654
10,0.2,2,90,50,6,0.063095748,1412.64624,74.72267151
10,0.2,2,90,50,6,0.100000001,1434.853394,70.14427185
10,0.2,2,90,50,6,0.158489317,1454.515259,66.04334259
10,0.2,2,90,50,6,0.251188636,1472.28418,64.11168671
10,0.2,2,90,50,6,0.398107171,1489.332275,63.75006104
10,0.2,2,90,50,6,0.630957365,1506.51355,65.19062042
10,0.2,2,90,50,6,1,1523.078003,67.94774628
10,0.2,2,90,50,6,1.584893227,1540.122314,73.83866882
10,0.2,2,90,50,6,2.511886358,1555.613159,81.83863068
10,0.2,2,90,50,6,3.981071472,1568.537354,92.41204071
10,0.2,2,90,50,6,6.309572697,1492.7052,125.9943771
10,0.2,2,90,50,6,10,1585.204102,112.0015488
10,0.2,2,90,50,6,0.01,1188.704712,127.5840073
10,0.2,2,90,50,6,0.015848933,1270.274902,111.4982986
10,0.2,2,90,50,6,0.025118863,1322.093018,99.88456726
10,0.2,2,90,50,6,0.039810721,1358.08606,86.35188293
10,0.2,2,90,50,6,0.063095748,1390.908447,84.10816956
10,0.2,2,90,50,6,0.100000001,1416.428589,77.99724579
10,0.2,2,90,50,6,0.158489317,1439.082764,74.34849548
10,0.2,2,90,50,6,0.251188636,1459.436157,72.35758209
10,0.2,2,90,50,6,0.398107171,1479.025146,71.65676117
10,0.2,2,90,50,6,0.630957365,1496.489746,73.50554657
10,0.2,2,90,50,6,1,1517.114258,76.25029755
10,0.2,2,90,50,6,1.584893227,1536.026367,82.70565796
10,0.2,2,90,50,6,2.511886358,1554.626221,89.9800415
10,0.2,2,90,50,6,3.981071472,1567.188965,102.9316025
10,0.2,2,90,50,6,6.309572697,1485.3573,140.6254883
10,0.2,2,90,50,6,10,1549.874268,214.8951874
10,0.2,2,150,50,6,0.01,588.6187134,99.81731415
10,0.2,2,150,50,6,0.015848933,670.3511963,80.06125641
10,0.2,2,150,50,6,0.025118863,717.6531372,71.18693542
10,0.2,2,150,50,6,0.039810721,752.5592651,65.57300568
10,0.2,2,150,50,6,0.063095748,778.6577148,60.00177002
10,0.2,2,150,50,6,0.100000001,798.4104614,56.06704712
10,0.2,2,150,50,6,0.158489317,816.7026367,53.3131218
10,0.2,2,150,50,6,0.251188636,831.8120117,52.28001785
10,0.2,2,150,50,6,0.398107171,845.7680054,52.01691437
10,0.2,2,150,50,6,0.630957365,858.2214355,53.48007965
10,0.2,2,150,50,6,1,873.4542236,55.5036087
10,0.2,2,150,50,6,1.584893227,886.0220947,59.93143082
10,0.2,2,150,50,6,2.511886358,895.9087524,66.59352875
10,0.2,2,150,50,6,3.981071472,887.6000977,78.38009644
10,0.2,2,150,50,6,6.309572697,901.7639771,77.78048706
10,0.2,2,150,50,6,10,958.1152344,121.7582321
10,0.2,2,150,50,6,0.01,549.1827393,80.77813721
10,0.2,2,150,50,6,0.015848933,624.1502075,69.58078766
10,0.2,2,150,50,6,0.025118863,670.2761841,61.55362701
10,0.2,2,150,50,6,0.039810721,700.1247559,55.70952606
10,0.2,2,150,50,6,0.063095748,722.6623535,51.3995285
10,0.2,2,150,50,6,0.100000001,740.8897705,48.19259262
10,0.2,2,150,50,6,0.158489317,756.1211548,45.94195938
10,0.2,2,150,50,6,0.251188636,769.4887695,44.86459351
10,0.2,2,150,50,6,0.398107171,781.8800659,45.0399971
10,0.2,2,150,50,6,0.630957365,795.2449951,46.43759918
10,0.2,2,150,50,6,1,805.9893188,49.11185455
10,0.2,2,150,50,6,1.584893227,817.192627,53.46695328
10,0.2,2,150,50,6,2.511886358,825.5497437,60.0235672
10,0.2,2,150,50,6,3.981071472,809.6062012,74.14039612
10,0.2,2,150,50,6,6.309572697,832.8254395,65.80875397
10,0.2,2,150,50,6,10,826.3857422,102.5190201
10,0.2,2,150,50,6,0.01,531.0776367,90.94733429
10,0.2,2,150,50,6,0.015848933,613.1652832,73.88378906
10,0.2,2,150,50,6,0.025118863,659.8217773,64.20128632
10,0.2,2,150,50,6,0.039810721,687.987793,58.81645203
10,0.2,2,150,50,6,0.063095748,712.5299072,56.27495956
10,0.2,2,150,50,6,0.100000001,731.2672729,52.75532532
10,0.2,2,150,50,6,0.158489317,747.1314087,51.04004669
10,0.2,2,150,50,6,0.251188636,761.468811,50.46304703
10,0.2,2,150,50,6,0.398107171,775.3462524,50.76426315
10,0.2,2,150,50,6,0.630957365,789.708252,52.34835052
10,0.2,2,150,50,6,1,802.5247192,56.0769577
10,0.2,2,150,50,6,1.584893227,815.5924683,61.08843613
10,0.2,2,150,50,6,2.511886358,826.5024414,68.74790955
10,0.2,2,150,50,6,3.981071472,810.5757446,85.01473999
